right_hip_roll,right_hip_pitch,right_knee,left_hip_roll,left_hip_pitch,left_knee,torso,left_hip_yaw,right_hip_yaw,left_ankle,right_ankle,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow
0.203926,-0.324452,0.664147,-0.194487,-0.291527,0.714529,0.003818,-0.003247,0.073655,-0.805477,-0.767471,0.187588,0.001129,0.451469,0.502508,0.156193,0.048497,-0.476130,0.551227
0.203655,-0.326934,0.667725,-0.193971,-0.293861,0.717184,0.003721,-0.003220,0.073388,-0.803425,-0.764645,0.188998,0.001127,0.441911,0.490813,0.158414,0.048386,-0.465970,0.538931
0.203383,-0.328764,0.672609,-0.193341,-0.295797,0.720556,0.003786,-0.003147,0.073192,-0.801376,-0.760624,0.190386,0.001117,0.432673,0.479115,0.160782,0.048238,-0.456076,0.526660
0.203158,-0.330937,0.677151,-0.192620,-0.297984,0.724022,0.003782,-0.003213,0.072880,-0.799379,-0.756213,0.191724,0.001125,0.422881,0.467223,0.163382,0.048034,-0.447105,0.516710
0.202933,-0.332737,0.681670,-0.191715,-0.300258,0.727409,0.003755,-0.003255,0.072753,-0.796742,-0.752077,0.193013,0.001124,0.413164,0.456448,0.165864,0.047612,-0.438616,0.504761
0.202662,-0.334879,0.686323,-0.190789,-0.302527,0.730775,0.003751,-0.003229,0.072511,-0.794168,-0.747873,0.194119,0.001122,0.404994,0.445341,0.167991,0.047003,-0.429982,0.492783
0.202414,-0.336717,0.690651,-0.189864,-0.304746,0.733775,0.003746,-0.003225,0.072270,-0.791637,-0.743763,0.195130,0.001112,0.396623,0.434040,0.169653,0.046479,-0.421175,0.481783
0.202142,-0.338276,0.695070,-0.188919,-0.307558,0.737185,0.003765,-0.003222,0.071960,-0.789138,-0.738983,0.196516,0.001120,0.386910,0.422845,0.171876,0.046032,-0.412278,0.471024
0.201780,-0.340245,0.699896,-0.188089,-0.309676,0.740645,0.003807,-0.003195,0.071605,-0.786908,-0.734646,0.197908,0.001138,0.377517,0.412868,0.174321,0.045793,-0.403590,0.460451
0.201532,-0.341912,0.704010,-0.187215,-0.311697,0.743568,0.003826,-0.003191,0.071204,-0.785029,-0.730272,0.199429,0.001117,0.370015,0.404920,0.176535,0.045723,-0.395408,0.449547
0.201147,-0.343164,0.708059,-0.186365,-0.313875,0.746028,0.003775,-0.003188,0.070736,-0.782938,-0.726769,0.200938,0.001135,0.361121,0.394009,0.178454,0.045672,-0.388978,0.438531
